Timestamp (ms),Oxygen %
2332352, 20.80
2333502, 20.80
2334652, 20.80
2335802, 20.80
2336952, 20.80
2338102, 20.80
2339252, 20.80
2340402, 20.80
2341552, 20.80
2342702, 20.80
2343852, 20.80
2345002, 20.80
2346152, 20.80
2347302, 20.80
2348452, 20.80
2349602, 20.80
2350752, 20.80
2351902, 20.80
2353052, 20.80
2354202, 20.80
2355352, 20.80
2356502, 20.80
2357652, 20.80
2358802, 20.80
2359952, 20.80
2361102, 20.80
2362252, 20.80
2363402, 20.80
2364552, 20.80
2365702, 20.80
2366852, 20.80
2368002, 20.80
2369152, 20.80
2370302, 20.80
2371452, 20.80
2372602, 20.80
2373752, 20.80
2374902, 20.80
2376052, 20.80
2377202, 20.80
2378352, 20.80
2379502, 20.80
2380652, 20.80
2381802, 20.80
2382952, 20.80
2384102, 20.80
2385252, 20.80
2386402, 20.80
2387552, 20.80
2388702, 20.80
2389852, 20.80
2391002, 20.80
2392152, 20.80
2393302, 20.80
2394452, 20.80
2395602, 20.80
2396752, 20.80
2397902, 20.80
2399052, 20.80
2400202, 20.80
2401352, 20.80
2402502, 20.80
2403652, 20.80
2404802, 20.80
2405952, 20.80
2407102, 20.80
2408252, 20.80
2409402, 20.80
2410552, 20.80
2411702, 20.80
2412852, 20.80
2414002, 20.80
2415152, 20.80
2416302, 20.80
2417452, 20.80
2418602, 20.80
2419752, 20.80
2420902, 20.80
2422052, 20.80
2423202, 20.80
2424352, 20.80
2425502, 20.80
2426652, 20.80
2427802, 20.80
2428952, 20.80
2430102, 20.80
2431252, 20.80
2432402, 20.80
2433552, 20.80
2434702, 20.80
2435852, 20.80
2437002, 20.80
2438152, 20.80
2439302, 20.80
2440452, 20.80
2441602, 20.80
2442752, 20.80
2443902, 20.80
2445052, 20.80
2446202, 20.80
2447352, 20.80
2448502, 20.80
2449652, 20.80
2450802, 20.80
2451952, 20.80
2453102, 20.80
2454252, 20.80
2455402, 20.80
2456552, 20.80
2457702, 20.80
2458852, 20.80
2460002, 20.80
2461152, 20.80
2462302, 20.80
2463452, 20.80
2464602, 20.80
2465752, 20.80
2466902, 20.80
2468052, 20.80
2469202, 20.80
2470352, 20.80
2471502, 20.80
2472652, 20.80
2473802, 20.80
2474952, 20.80
2476102, 20.80
2477252, 20.80
2478402, 20.80
2479552, 20.80
2480702, 20.81
2481852, 20.81
2483002, 20.81
2484152, 20.81
2485302, 20.81
2486452, 20.80
2487602, 20.80
2488752, 20.80
2489902, 20.80
2491052, 20.80
2492202, 20.80
2493352, 20.80
2494502, 20.80
2495652, 20.80
2496802, 20.80
2497952, 20.80
2499102, 20.80
2500252, 20.80
2501402, 20.81
2502552, 20.81
2503702, 20.80
2504852, 20.80
2506002, 20.80
2507152, 20.81
2508302, 20.81
2509452, 20.81
2510602, 20.81
2511752, 20.81
2512902, 20.81
2514052, 20.81
2515202, 20.81
2516352, 20.81
2517502, 20.81
2518652, 20.80
2519802, 20.80
2520952, 20.80
